blackmax,Total events,Hadronizer fragment name,Generator,Cross Section,Datacard,LHE
BlackHole_BH2_MD2000_MBH8000_n4_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,3.66E-02,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH8000_n4/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH8000_n4/lhouches.lhe
BlackHole_BH2_MD2000_MBH8000_n6_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,6.16E-02,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH8000_n6/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH8000_n6/lhouches.lhe
BlackHole_BH2_MD2000_MBH9000_n2_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,1.13E-03,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH9000_n2/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH9000_n2/lhouches.lhe
BlackHole_BH2_MD2000_MBH9000_n4_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,2.74E-03,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH9000_n4/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH9000_n4/lhouches.lhe
BlackHole_BH2_MD2000_MBH9000_n6_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,4.55E-03,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH9000_n6/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH9000_n6/lhouches.lhe
BlackHole_BH2_MD3000_MBH10000_n2_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,1.53E-05,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH10000_n2/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH10000_n2/lhouches.lhe
BlackHole_BH2_MD3000_MBH10000_n4_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,4.02E-05,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH10000_n4/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH10000_n4/lhouches.lhe
BlackHole_BH2_MD3000_MBH10000_n6_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,6.93E-05,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH10000_n6/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH10000_n6/lhouches.lhe
BlackHole_BH2_MD3000_MBH11000_n2_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,2.28E-07,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH11000_n2/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH11000_n2/lhouches.lhe
BlackHole_BH2_MD3000_MBH11000_n4_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,5.85E-07,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH11000_n4/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH11000_n4/lhouches.lhe
BlackHole_BH2_MD3000_MBH11000_n6_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,9.98E-07,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH11000_n6/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH11000_n6/lhouches.lhe
BlackHole_BH2_MD3000_MBH4000_n2_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,6.37E+00,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH4000_n2/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH4000_n2/lhouches.lhe
BlackHole_BH2_MD3000_MBH4000_n4_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,2.07E+01,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH4000_n4/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH4000_n4/lhouches.lhe
BlackHole_BH2_MD3000_MBH4000_n6_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,3.91E+01,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH4000_n6/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH4000_n6/lhouches.lhe
BlackHole_BH2_MD3000_MBH5000_n2_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,1.39E+00,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH5000_n2/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH5000_n2/lhouches.lhe
BlackHole_BH2_MD3000_MBH5000_n4_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,4.31E+00,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH5000_n4/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH5000_n4/lhouches.lhe
BlackHole_BH2_MD3000_MBH5000_n6_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,7.96E+00,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH5000_n6/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH5000_n6/lhouches.lhe
BlackHole_BH2_MD3000_MBH6000_n2_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,2.69E-01,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH6000_n2/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH6000_n2/lhouches.lhe
